Player_ID,Team_ID,Shirt_No,Name,Experience,Season,Team_abv
4,18,9,Bobby Portis,5,2020-2021,MIL
6,18,22,Khris Middleton,8,2020-2021,MIL
9,18,66,Axel Toupane,2,2020-2021,MIL
11,18,5,Jeff Teague,11,2020-2021,MIL
26,18,13,Jordan Nwora,R,2020-2021,MIL
41,18,15,Sam Merrill,R,2020-2021,MIL
70,18,0,Rodions Kurucs,2,2020-2021,MIL
71,18,24,Pat Connaughton,5,2020-2021,MIL
72,18,5,D.J. Wilson,3,2020-2021,MIL
79,18,3,Elijah Bryant,R,2020-2021,MIL
98,18,6,Jaylen Adams,2,2020-2021,MIL
109,18,17,P.J. Tucker,9,2020-2021,MIL
115,18,3,Torrey Craig,3,2020-2021,MIL
122,18,7,Bryn Forbes,4,2020-2021,MIL
126,18,43,Thanasis Antetokounmpo,2,2020-2021,MIL
127,18,21,Jrue Holiday,11,2020-2021,MIL
140,18,34,Giannis Antetokounmpo,7,2020-2021,MIL
142,18,44,Justin Jackson,3,2020-2021,MIL
144,18,0,Donte DiVincenzo,2,2020-2021,MIL
148,18,25,Mamadi Diakite,R,2020-2021,MIL
184,18,12,D.J. Augustin,12,2020-2021,MIL
194,18,11,Brook Lopez,12,2020-2021,MIL
