Player_ID,Team_ID,Shirt_No,Name,Experience,Season,Team_abv
2,26,10,Jack White,R,2022-2023,DEN
3,26,3,Bones Hyland,1,2022-2023,DEN
23,26,32,Jeff Green,14,2022-2023,DEN
32,26,31,Vlatko ÄanÄar,3,2022-2023,DEN
53,26,0,Christian Braun,R,2022-2023,DEN
57,26,50,Aaron Gordon,8,2022-2023,DEN
78,26,22,Zeke Nnaji,2,2022-2023,DEN
94,26,5,Kentavious Caldwell-Pope,9,2022-2023,DEN
102,26,27,Jamal Murray,5,2022-2023,DEN
103,26,14,Ish Smith,12,2022-2023,DEN
112,26,13,Thomas Bryant,5,2022-2023,DEN
114,26,8,Peyton Watson,R,2022-2023,DEN
132,26,11,Bruce Brown,4,2022-2023,DEN
152,26,6,DeAndre Jordan,14,2022-2023,DEN
178,26,1,Michael Porter Jr.,3,2022-2023,DEN
180,26,7,Reggie Jackson,11,2022-2023,DEN
181,26,9,Davon Reed,3,2022-2023,DEN
190,26,15,Nikola JokiÄ,7,2022-2023,DEN
