Player_ID,Team_ID,Shirt_No,Name,Experience,Season,Team_abv
1,4,88,Markieff Morris,8,2019-2020,LAL
24,4,37,Kostas Antetokounmpo,1,2019-2020,LAL
28,4,23,LeBron James,16,2019-2020,LAL
29,4,4,Alex Caruso,2,2019-2020,LAL
31,4,5,Talen Horton-Tucker,R,2019-2020,LAL
47,4,18,Dion Waiters,7,2019-2020,LAL
64,4,"2, 28",Quinn Cook,3,2019-2020,LAL
74,4,21,Zach Norvell,R,2019-2020,LAL
83,4,11,Avery Bradley,9,2019-2020,LAL
90,4,0,Kyle Kuzma,2,2019-2020,LAL
94,4,1,Kentavious Caldwell-Pope,6,2019-2020,LAL
101,4,7,JaVale McGee,11,2019-2020,LAL
123,4,12,Devontae Cacok,R,2019-2020,LAL
156,4,14,Danny Green,10,2019-2020,LAL
158,4,39,Dwight Howard,15,2019-2020,LAL
171,4,3,Anthony Davis,7,2019-2020,LAL
173,4,10,Jared Dudley,12,2019-2020,LAL
176,4,21,J.R. Smith,15,2019-2020,LAL
187,4,30,Troy Daniels,6,2019-2020,LAL
202,4,9,Rajon Rondo,13,2019-2020,LAL
